theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty
phenology,KONZ,925,10,rcc_90,0.03166666696643612,3,3.05434848882374e-8
phenology,LAJA,900,10,rcc_90,0.01850403838220283,3,5.62679199294195e-4
phenology,LENO,914,10,rcc_90,0.02203827351738935,3,2.742149077116773e-5
phenology,MLBS,923,10,rcc_90,0.028779101076689725,3,0.0040316688865654655
phenology,MOAB,917,10,rcc_90,0.04975986279859531,3,2.6544736511979228e-5
phenology,NIWO,922,10,rcc_90,0.036241025165792605,3,1.9057840040036848e-8
phenology,NOGP,926,10,rcc_90,0.03972506202121173,3,2.7823440291677307e-6
phenology,OAES,880,10,rcc_90,0.02291799025204702,3,1.0523663926257675e-7
phenology,ONAQ,900,10,rcc_90,0.034113294144367014,3,2.1317753787100736e-6
phenology,ORNL,905,10,rcc_90,0.028834035830737372,3,3.883385189596557e-10
phenology,OSBS,930,10,rcc_90,0.017768778811257994,3,0.002486666606412982
phenology,PUUM,863,10,rcc_90,0.01352617021051084,4,3.206743501863954e-7
phenology,RMNP,897,10,rcc_90,0.03552408839740924,3,2.990444591184439e-8
phenology,SCBI,929,10,rcc_90,0.031334559270230045,3,1.1808317008755801e-4
phenology,SERC,932,10,rcc_90,0.031448142929912846,3,8.189839110843908e-7
phenology,SJER,919,10,rcc_90,0.018084905101693808,3,2.584050456511696e-9
phenology,SOAP,695,10,rcc_90,0.024245013093338347,5,5.155477696344428e-5
phenology,SRER,928,10,rcc_90,0.023378008450646942,3,2.0505492929674304e-6
phenology,STEI,929,10,rcc_90,0.02807598149059498,3,4.895394901007344e-9
phenology,STER,903,10,rcc_90,0.04825124861904025,4,2.749418717714107e-10
phenology,TALL,928,10,rcc_90,0.020662592195396293,3,2.803668056767591e-6
phenology,TEAK,608,10,rcc_90,0.035228283615611485,6,4.1726869480423815e-7
phenology,TOOL,562,10,rcc_90,0.05014951408912137,8,6.887919880424463e-7
phenology,TREE,930,10,rcc_90,0.042292143005630896,3,7.018820395328061e-9
phenology,UKFS,927,10,rcc_90,0.027096433546815284,3,7.277542320945329e-10
phenology,UNDE,899,10,rcc_90,0.03705762055600592,3,4.136163551174981e-10
phenology,WOOD,934,10,rcc_90,0.04556070571367302,3,8.068986116944574e-10
phenology,WREF,930,10,rcc_90,0.0208599462776517,3,2.462110243835866e-5
phenology,YELL,906,10,rcc_90,0.017917278026674224,3,9.960591216380675e-6
terrestrial_daily,ABBY,657,10,nee,1.61363958476284,9,1.1030697790564861e-7
terrestrial_daily,BARR,227,10,nee,0.3917885286611796,4,0.7098163961869695
terrestrial_daily,BART,643,10,nee,1.729128330306827,7,4.410480488898454e-9
terrestrial_daily,BLAN,712,10,nee,2.0417365450851177,9,5.851889566910695e-4
terrestrial_daily,BONA,579,10,nee,0.7087518565857377,10,2.255203140564215e-7
terrestrial_daily,CLBJ,764,10,nee,1.8323868926107152,4,3.8136400509452384e-6
terrestrial_daily,CPER,661,10,nee,0.9069819953064281,9,5.361370757783102e-6
terrestrial_daily,DCFS,698,10,nee,1.107411616703518,7,2.9078119514799677e-4
terrestrial_daily,DEJU,610,10,nee,0.6560920360267477,8,2.523057747472364e-5
terrestrial_daily,DELA,616,10,nee,2.29414442961147,5,3.753367346843782e-8
terrestrial_daily,DSNY,590,10,nee,1.5126299640134757,5,2.6075378239723046e-7
terrestrial_daily,GRSM,574,10,nee,2.2846584579293685,4,1.3782577866192754e-5
