theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,last_targets_date,importance_surface_downwelling_shortwave_flux_in_air,importance_air_temperature,importance_relative_humidity,importance_surface_downwelling_longwave_flux_in_air,importance_northward_wind,importance_eastward_wind,importance_air_pressure,importance_precipitation_flux
phenology,WOOD,828,10,rcc_90,0.015273760329050291,6,15,12/31/2022,0.092502588,0.5147646017855438,0.12637871258441621,0.050231832842926157,0.05193703,1.0234851726372018,0.043704083591224276,0.074144474
phenology,WREF,824,10,rcc_90,0.004766279,7,4,12/31/2022,0.021477178542902948,0.044644141,0.15542115677748744,0.033907014,0.015549512458550477,0.023102227,0.013710570899117796,0.033135545044629275
phenology,YELL,810,10,rcc_90,0.007281125,2,9,12/31/2022,0.021339857784094994,0.041186755,0.032533333,0.016437991,0.021737616959383668,0.034163648078431426,0.021111096,0.032971283
terrestrial_daily,ABBY,583,10,nee,0.5617959108741742,5,4,12/31/2022,162.93500371904057,243.67778992620848,1158.9970520073366,429.992666,327.86378073778826,451.29994393084166,189.54173354188742,143.14758527773287
terrestrial_daily,BARR,160,10,nee,0.14189904018538446,6,3,12/31/2022,6.224656927058383,33.47180322797776,5.382105480009063,2.687239097406823,2.094668065324851,1.797652379503384,2.2490932540099577,2.0584967811036816
terrestrial_daily,BART,560,10,nee,0.8621758943491244,2,8,12/31/2022,1140.6083066898555,1628.3673772731881,887.0960640072994,278.0843523534903,183.5543565882725,451.7049469985292,195.8103594638287,208.92365036891246
terrestrial_daily,BLAN,625,10,nee,1.2342372347683925,2,14,12/31/2022,1143.166228,2117.0694709660866,1770.4100048258847,298.5387616070263,306.64143325068807,471.51138332617154,329.5427420734861,293.9597694012175
terrestrial_daily,BONA,519,10,nee,0.25193831294573943,2,3,12/31/2022,62.045956712361026,96.02017312,115.9163838759984,37.16759002216896,26.78300588510435,86.99353531544038,28.387876380636108,28.16961002593077
terrestrial_daily,CLBJ,675,10,nee,0.8786943367817857,2,8,12/31/2022,748.4415927291714,1126.8136790814801,1163.5339204448753,314.2578819296191,195.30326241397654,381.24137954544994,257.63344964838717,301.1025764534224
terrestrial_daily,CPER,598,10,nee,0.5587496778091481,2,11,12/31/2022,70.18106401,50.357423554983484,119.73695044371793,40.59799521937942,52.08039342775285,40.20337531,35.649885689532944,28.542426186991438
